"Timestamp","EventType","PID","ProcessName","ProcessPath","WindowTitle","WindowClass","ParentPID","ParentProcess","IsVisible","WindowStyle","WindowRect","OwnerInfo","CommandLine"
"2026-04-04 16:48:00.071","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
"2026-04-04 16:48:00.363","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:48:00.693","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:48:00.727","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","Norton 360","CefHeaderWindow","5988","EXITED","False","Style=0x840D0000 ExStyle=0x00000100","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:48:01.045","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:48:01.355","FOREGROUND","22188","NortonUI","C:\Program Files\Norton\Suite\NortonUI.exe","","Chrome_WidgetWin_0","5988","EXITED","False","Style=0x56000000 ExStyle=0x00000000","775,359,1785,1033","","""C:\Program Files\Norton\Suite\NortonUI.exe"" /nogui"
"2026-04-04 16:48:58.765","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:48:59.263","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:48:59.624","FOREGROUND","0","Idle","ACCESS_DENIED","","","0","","False","Style=0x00000000 ExStyle=0x00000000","0,0,0,0","",""
"2026-04-04 16:48:59.972","FOREGROUND","66972","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","[REDACTED-TITLE]","CASCADIA_HOSTING_WINDOW_CLASS","11296","explorer","True","Style=0x14CF0000 ExStyle=0x00200100","-2302,212,-249,836","","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" --profile ""{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"" --startingDirectory ""C:\Users\REDACTED"" "
